Case_ID,Load_Position_X_m,Applied_Node_ID,Load_Magnitude_N,Max_Deformation_m
226,0.23,417,5600.0,0.0
227,0.23,417,6700.0,0.0
228,0.23,417,7800.0,0.0
229,0.23,417,8900.0,0.0
230,0.23,417,10000.0,0.0
231,0.24,417,100.0,0.0
232,0.24,417,1200.0,0.0
233,0.24,417,2300.0,0.0
234,0.24,417,3400.0,0.0
235,0.24,417,4500.0,0.0
236,0.24,417,5600.0,0.0
237,0.24,417,6700.0,0.0
238,0.24,417,7800.0,0.0
239,0.24,417,8900.0,0.0
240,0.24,417,10000.0,0.0
241,0.25,421,100.0,9.7358693072946e-09
242,0.25,421,1200.0,1.168304316870643e-07
243,0.25,421,2300.0,2.2392499406777163e-07
244,0.25,421,3400.0,3.3101955644798174e-07
245,0.25,421,4500.0,4.3811411882831315e-07
246,0.25,421,5600.0,5.452086812089747e-07
247,0.25,421,6700.0,6.523032435874569e-07
248,0.25,421,7800.0,7.593978059693834e-07
249,0.25,421,8900.0,8.66492368349141e-07
250,0.25,421,10000.0,9.735869307277081e-07
251,0.26,421,100.0,9.735869307295205e-09
252,0.26,421,1200.0,1.1683043168754695e-07
253,0.26,421,2300.0,2.2392499406769667e-07
254,0.26,421,3400.0,3.310195564480224e-07
255,0.26,421,4500.0,4.381141188282574e-07
256,0.26,421,5600.0,5.452086812084486e-07
257,0.26,421,6700.0,6.523032435886862e-07
258,0.26,421,7800.0,7.593978059697813e-07
259,0.26,421,8900.0,8.66492368349218e-07
260,0.26,421,10000.0,9.735869307295013e-07
261,0.27,421,100.0,9.735869307294347e-09
262,0.27,421,1200.0,1.1683043168753553e-07
263,0.27,421,2300.0,2.239249940677524e-07
264,0.27,421,3400.0,3.3101955644753625e-07
265,0.27,421,4500.0,4.381141188282574e-07
266,0.27,421,5600.0,5.45208681206592e-07
267,0.27,421,6700.0,6.523032435890929e-07
268,0.27,421,7800.0,7.593978059675446e-07
269,0.27,421,8900.0,8.664923683464597e-07
270,0.27,421,10000.0,9.735869307249216e-07
271,0.28,421,100.0,9.735869307300549e-09
272,0.28,421,1200.0,1.1683043168705983e-07
273,0.28,421,2300.0,2.239249940677356e-07
274,0.28,421,3400.0,3.310195564482742e-07
275,0.28,421,4500.0,4.3811411882819764e-07
276,0.28,421,5600.0,5.452086812062654e-07
277,0.28,421,6700.0,6.523032435903744e-07
278,0.28,421,7800.0,7.593978059672971e-07
279,0.28,421,8900.0,8.664923683489029e-07
280,0.28,421,10000.0,9.735869307316464e-07
281,0.29,421,100.0,9.735869307291706e-09
282,0.29,421,1200.0,1.1683043168752522e-07
283,0.29,421,2300.0,2.239249940677758e-07
284,0.29,421,3400.0,3.3101955644801646e-07
285,0.29,421,4500.0,4.381141188282574e-07
286,0.29,421,5600.0,5.452086812084544e-07
287,0.29,421,6700.0,6.523032435887263e-07
288,0.29,421,7800.0,7.593978059696812e-07
289,0.29,421,8900.0,8.664923683499132e-07
290,0.29,421,10000.0,9.735869307292777e-07
291,0.3,421,100.0,9.735869307308425e-09
292,0.3,421,1200.0,1.1683043168760123e-07
293,0.3,421,2300.0,2.2392499406653835e-07
294,0.3,421,3400.0,3.3101955644801646e-07
295,0.3,421,4500.0,4.381141188287155e-07
296,0.3,421,5600.0,5.45208681207899e-07
297,0.3,421,6700.0,6.52303243588739e-07
298,0.3,421,7800.0,7.593978059689195e-07
299,0.3,421,8900.0,8.664923683456709e-07
300,0.3,421,10000.0,9.73586930729336e-07
301,0.31,421,100.0,9.735869307260897e-09
302,0.31,421,1200.0,1.1683043168752522e-07
303,0.31,421,2300.0,2.2392499406720398e-07
304,0.31,421,3400.0,3.310195564475232e-07
305,0.31,421,4500.0,4.3811411882819764e-07
306,0.31,421,5600.0,5.452086812085079e-07
307,0.31,421,6700.0,6.523032435886086e-07
308,0.31,421,7800.0,7.593978059689111e-07
309,0.31,421,8900.0,8.664923683488816e-07
310,0.31,421,10000.0,9.735869307293423e-07
311,0.32,421,100.0,9.7358693072946e-09
312,0.32,421,1200.0,1.1683043168753553e-07
313,0.32,421,2300.0,2.239249940677892e-07
314,0.32,421,3400.0,3.3101955644798597e-07
315,0.32,421,4500.0,4.3811411882876245e-07
316,0.32,421,5600.0,5.45208681208498e-07
317,0.32,421,6700.0,6.523032435886143e-07
318,0.32,421,7800.0,7.59397805966327e-07
319,0.32,421,8900.0,8.664923683467263e-07
320,0.32,421,10000.0,9.73586930726419e-07
321,0.33,421,100.0,9.73586930729397e-09
322,0.33,421,1200.0,1.1683043168728044e-07
323,0.33,421,2300.0,2.2392499406774807e-07
324,0.33,421,3400.0,3.310195564481807e-07
325,0.33,421,4500.0,4.381141188281996e-07
326,0.33,421,5600.0,5.452086812087029e-07
327,0.33,421,6700.0,6.523032435899742e-07
328,0.33,421,7800.0,7.593978059689795e-07
329,0.33,421,8900.0,8.664923683492888e-07
330,0.33,421,10000.0,9.73586930729021e-07
331,0.34,421,100.0,9.735869307292753e-09
332,0.34,421,1200.0,1.1683043168763262e-07
333,0.34,421,2300.0,2.2392499406626828e-07
334,0.34,421,3400.0,3.3101955644801646e-07
335,0.34,421,4500.0,4.381141188295252e-07
336,0.34,421,5600.0,5.45208681207987e-07
337,0.34,421,6700.0,6.523032435878416e-07
338,0.34,421,7800.0,7.593978059689795e-07
339,0.34,421,8900.0,8.664923683432843e-07
340,0.34,421,10000.0,9.735869307291727e-07
341,0.35,421,100.0,9.735869307293839e-09
342,0.35,421,1200.0,1.1683043168753553e-07
343,0.35,421,2300.0,2.2392499406758753e-07
344,0.35,421,3400.0,3.3101955644610063e-07
345,0.35,421,4500.0,4.381141188282408e-07
346,0.35,421,5600.0,5.452086812094303e-07
347,0.35,421,6700.0,6.523032435863736e-07
348,0.35,421,7800.0,7.593978059689034e-07
349,0.35,421,8900.0,8.66492368349218e-07
350,0.35,421,10000.0,9.735869307294604e-07
351,0.36,421,100.0,9.735869307292992e-09
352,0.36,421,1200.0,1.1683043168773802e-07
353,0.36,421,2300.0,2.2392499406687785e-07
354,0.36,421,3400.0,3.31019556444866e-07
355,0.36,421,4500.0,4.3811411882873625e-07
356,0.36,421,5600.0,5.452086812084544e-07
357,0.36,421,6700.0,6.523032435879354e-07
358,0.36,421,7800.0,7.593978059689795e-07
359,0.36,421,8900.0,8.664923683489397e-07
360,0.36,421,10000.0,9.735869307293713e-07
361,0.37,421,100.0,9.735869307292237e-09
362,0.37,421,1200.0,1.1683043168729886e-07
363,0.37,421,2300.0,2.2392499406771932e-07
364,0.37,421,3400.0,3.310195564460227e-07
365,0.37,421,4500.0,4.381141188274337e-07
366,0.37,421,5600.0,5.452086812084599e-07
367,0.37,421,6700.0,6.52303243590238e-07
368,0.37,421,7800.0,7.593978059698257e-07
369,0.37,421,8900.0,8.664923683503509e-07
370,0.37,421,10000.0,9.735869307298374e-07
371,0.38,421,100.0,9.735869307253201e-09
372,0.38,421,1200.0,1.1683043168705562e-07
373,0.38,421,2300.0,2.2392499406733517e-07
374,0.38,421,3400.0,3.31019556446568e-07
375,0.38,421,4500.0,4.381141188282222e-07
376,0.38,421,5600.0,5.452086812070833e-07
377,0.38,421,6700.0,6.523032435885691e-07
378,0.38,421,7800.0,7.593978059686356e-07
379,0.38,421,8900.0,8.664923683463516e-07
380,0.38,421,10000.0,9.735869307294793e-07
381,0.39,421,100.0,9.73586930730668e-09
382,0.39,421,1200.0,1.1683043168752069e-07
383,0.39,421,2300.0,2.239249940673462e-07
384,0.39,421,3400.0,3.310195564480224e-07
385,0.39,421,4500.0,4.381141188282198e-07
386,0.39,421,5600.0,5.452086812084728e-07
387,0.39,421,6700.0,6.523032435863982e-07
388,0.39,421,7800.0,7.593978059674876e-07
389,0.39,421,8900.0,8.664923683503365e-07
390,0.39,421,10000.0,9.735869307246059e-07
391,0.4,421,100.0,9.7358693072946e-09
392,0.4,421,1200.0,1.1683043168738367e-07
393,0.4,421,2300.0,2.2392499406712553e-07
394,0.4,421,3400.0,3.310195564479969e-07
395,0.4,421,4500.0,4.381141188282222e-07
396,0.4,421,5600.0,5.452086812048562e-07
397,0.4,421,6700.0,6.523032435894373e-07
398,0.4,421,7800.0,7.593978059690905e-07
399,0.4,421,8900.0,8.664923683487469e-07
